TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
26,904.5034,nan,nan,0,0,0,0,0.001,0.001,0.366513
26,904.5034,-0.004011201,63.17464,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
26,904.5034,-0.008088642,63.14887,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
26,904.5034,-0.0121624,63.12312,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
26,904.5034,-0.01623616,63.09736,26196,370455,1,0.0001319945,0.001,0.001,0.366381
26,904.5034,-0.02030992,63.07161,27639,370455,1,0.0001649857,0.001,0.001,0.366348
26,904.5034,-0.02438736,63.04584,29083,370455,1,0.0001980066,0.001,0.001,0.366315
26,904.5034,-0.02846113,63.02009,30526,370455,1,0.0002309978,0.001,0.001,0.366282
26,904.5034,-0.03253489,62.99433,31969,370455,1,0.000263989,0.001,0.001,0.366249
26,904.5034,-0.03661233,62.96856,33413,370455,1,0.0002970099,0.001,0.001,0.366216
26,904.5034,-0.04068609,62.94281,34856,370455,1,0.0003300011,0.001,0.001,0.366183
26,904.5034,-0.04475985,62.91706,36299,370455,1,0.0003629923,0.001,0.001,0.36615
26,904.5034,-0.04883729,62.89128,37743,370455,1,0.0003960133,0.001,0.001,0.366117
26,904.5034,-0.05291105,62.86553,39186,370455,1,0.0004290044,0.001,0.001,0.366084
26,904.5034,-0.05698481,62.83978,40628,370455,1,0.0004619956,0.001,0.001,0.366051
26,904.5034,-0.06105857,62.81402,42071,370455,1,0.0004949868,0.001,0.001,0.366018
26,904.5034,-0.06513601,62.78825,43515,370455,1,0.0005280077,0.001,0.001,0.365985
26,904.5034,-0.06920977,62.7625,44958,370455,1,0.0005609989,0.001,0.001,0.365952
26,904.5034,-0.07328353,62.73675,46401,370455,1,0.0005939901,0.001,0.001,0.365919
26,904.5034,-0.07736098,62.71097,47845,370455,1,0.0006270111,0.001,0.001,0.365886
