TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
46,1310.275,nan,nan,0,0,0,0,0.001,0.001,0.366513
46,1310.275,-0.01771919,63.19398,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
46,1310.275,-0.035731,63.18787,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
46,1310.275,-0.05372655,63.18176,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
46,1310.275,-0.0717221,63.17565,26196,370455,1,0.0001319945,0.001,0.001,0.366381
46,1310.275,-0.08971764,63.16954,27639,370455,1,0.0001649857,0.001,0.001,0.366348
46,1310.275,-0.1077294,63.16343,29083,370455,1,0.0001980066,0.001,0.001,0.366315
46,1310.275,-0.125725,63.15732,30526,370455,1,0.0002309978,0.001,0.001,0.366282
46,1310.275,-0.1437205,63.15121,31969,370455,1,0.000263989,0.001,0.001,0.366249
46,1310.275,-0.1617324,63.1451,33413,370455,1,0.0002970099,0.001,0.001,0.366216
46,1310.275,-0.1797279,63.13899,34856,370455,1,0.0003300011,0.001,0.001,0.366183
46,1310.275,-0.1977234,63.13288,36299,370455,1,0.0003629923,0.001,0.001,0.36615
46,1310.275,-0.2157353,63.12676,37743,370455,1,0.0003960133,0.001,0.001,0.366117
46,1310.275,-0.2337308,63.12066,39186,370455,1,0.0004290044,0.001,0.001,0.366084
46,1310.275,-0.2517263,63.11455,40628,370455,1,0.0004619956,0.001,0.001,0.366051
46,1310.275,-0.2697219,63.10844,42071,370455,1,0.0004949868,0.001,0.001,0.366018
46,1310.275,-0.2877337,63.10232,43515,370455,1,0.0005280077,0.001,0.001,0.365985
46,1310.275,-0.3057293,63.09621,44958,370455,1,0.0005609989,0.001,0.001,0.365952
46,1310.275,-0.3237248,63.09011,46401,370455,1,0.0005939901,0.001,0.001,0.365919
46,1310.275,-0.3417366,63.08399,47845,370455,1,0.0006270111,0.001,0.001,0.365886
46,1310.275,-0.3597322,63.07788,49288,370455,1,0.0006600022,0.001,0.001,0.365853
46,1310.275,-0.3777277,63.07177,50731,370455,1,0.0006929934,0.001,0.001,0.36582
46,1310.275,-0.3957395,63.06566,52175,370455,1,0.0007260144,0.001,0.001,0.365787
46,1310.275,-0.4137351,63.05955,53618,370455,1,0.0007590055,0.001,0.001,0.365754
46,1310.275,-0.4317306,63.05344,55060,370455,1,0.0007919967,0.001,0.001,0.365721
46,1310.275,-0.4497262,63.04733,56503,370455,1,0.0008249879,0.001,0.001,0.365688
46,1310.275,-0.467738,63.04122,57947,370455,1,0.0008580089,0.001,0.001,0.365655
46,1310.275,-0.4857335,63.03511,59390,370455,1,0.000891,0.001,0.001,0.365622
46,1310.275,-0.5037291,63.029,60833,370455,1,0.0009239912,0.001,0.001,0.365589
46,1310.275,-0.5217409,63.02289,62277,370455,1,0.0009570122,0.001,0.001,0.365556
46,1310.275,-0.5397364,63.01678,63720,370455,1,0.0009900033,0.001,0.001,0.365523
46,1310.275,-0.557732,63.01067,65163,370455,1,0.001022995,0.001,0.001,0.36549
46,1310.275,-0.5757438,63.00455,66607,370455,1,0.001056015,0.001,0.001,0.365457
46,1310.275,-0.5937393,62.99844,68050,370455,1,0.001089007,0.001,0.001,0.365424
46,1310.275,-0.6056562,62.9944,66678,370446,1,0.001121998,0.001,0.001,0.365391
46,1310.275,-0.6164767,62.99073,64798,370446,1,0.001154989,0.001,0.001,0.365358
46,1310.275,-0.6273069,62.98705,62917,370446,1,0.00118801,0.001,0.001,0.365325
46,1310.275,-0.6381274,62.98338,61037,370446,1,0.001221001,0.001,0.001,0.365292
46,1310.275,-0.6398226,62.9828,55527,547328,1,0.001253992,0.001,0.001,0.365259
46,1310.275,-0.6515709,62.97853,53075,548707,1,0.001287013,0.001,0.001,0.365226
46,1310.275,-0.6717855,62.97115,53168,548707,1,0.001320004,0.001,0.001,0.365193
46,1310.275,-0.6920001,62.96376,53261,548707,1,0.001352996,0.001,0.001,0.36516
46,1310.275,-0.7122329,62.95637,53354,548707,1,0.001386017,0.001,0.001,0.365127
46,1310.275,-0.7324475,62.94898,53446,548707,1,0.001419008,0.001,0.001,0.365094
46,1310.275,-0.7526621,62.9416,53539,548707,1,0.001451999,0.001,0.001,0.365061
46,1310.275,-0.7728766,62.93421,53632,548707,1,0.00148499,0.001,0.001,0.365028
46,1310.275,-0.7930506,62.92675,53547,370443,1,0.001518011,0.001,0.001,0.364995
46,1310.275,-0.8132148,62.91931,53487,370443,1,0.001551002,0.001,0.001,0.364962
46,1310.275,-0.833379,62.91187,53427,370443,1,0.001583993,0.001,0.001,0.364929
46,1310.275,-0.8535614,62.90443,53367,370443,1,0.001617014,0.001,0.001,0.364896
46,1310.275,-0.8737256,62.89699,53307,370443,1,0.001650006,0.001,0.001,0.364863
46,1310.275,-0.8938898,62.88955,53247,370443,1,0.001682997,0.001,0.001,0.36483
46,1310.275,-0.914054,62.88211,53187,370443,1,0.001715988,0.001,0.001,0.364797
46,1310.275,-0.9342365,62.87466,53127,370443,1,0.001749009,0.001,0.001,0.364764
46,1310.275,-0.9544007,62.86722,53067,370443,1,0.001782,0.001,0.001,0.364731
46,1310.275,-0.9745649,62.85978,53008,370443,1,0.001814991,0.001,0.001,0.364698
46,1310.275,-0.9947473,62.85233,52948,370443,1,0.001848012,0.001,0.001,0.364665
46,1310.275,-1.014912,62.84489,52888,370443,1,0.001881003,0.001,0.001,0.364632
46,1310.275,-1.035076,62.83745,52828,370443,1,0.001913995,0.001,0.001,0.364599
46,1310.275,-1.055258,62.83,52768,370443,1,0.001947016,0.001,0.001,0.364566
46,1310.275,-1.075422,62.82256,52708,370443,1,0.001980007,0.001,0.001,0.364533
46,1310.275,-1.095587,62.81512,52648,370443,1,0.002012998,0.001,0.001,0.3645
46,1310.275,-1.115751,62.80768,52588,370443,1,0.002045989,0.001,0.001,0.364467
46,1310.275,-1.135933,62.80024,52528,370443,1,0.00207901,0.001,0.001,0.364434
46,1310.275,-1.156097,62.7928,52469,370443,1,0.002112001,0.001,0.001,0.364401
46,1310.275,-1.176262,62.78536,52409,370443,1,0.002144992,0.001,0.001,0.364368
46,1310.275,-1.195895,62.77654,52388,583301,1,0.002178013,0.001,0.001,0.364335
46,1310.275,-1.21523,62.76704,52388,583301,1,0.002211004,0.001,0.001,0.364302
46,1310.275,-1.234566,62.75753,52388,583301,1,0.002243996,0.001,0.001,0.364269
46,1310.275,-1.253918,62.74802,52388,583301,1,0.002277017,0.001,0.001,0.364236
46,1310.275,-1.273254,62.73852,52388,583301,1,0.002310008,0.001,0.001,0.364203
46,1310.275,-1.292589,62.72901,52388,583301,1,0.002342999,0.001,0.001,0.36417
46,1310.275,-1.311924,62.71951,52388,583301,1,0.00237599,0.001,0.001,0.364137
46,1310.275,-1.331277,62.71,52388,583301,1,0.002409011,0.001,0.001,0.364104
46,1310.275,-1.350612,62.70049,52388,583301,1,0.002442002,0.001,0.001,0.364071
46,1310.275,-1.369948,62.69099,52388,583301,1,0.002474993,0.001,0.001,0.364038
46,1310.275,-1.389301,62.68147,52388,583301,1,0.002508014,0.001,0.001,0.364005
46,1310.275,-1.408636,62.67197,52389,583301,1,0.002541006,0.001,0.001,0.363972
46,1310.275,-1.427971,62.66247,52389,583301,1,0.002573997,0.001,0.001,0.363939
46,1310.275,-1.447324,62.65295,52389,583301,1,0.002607018,0.001,0.001,0.363906
46,1310.275,-1.466659,62.64345,52389,583301,1,0.002640009,0.001,0.001,0.363873
46,1310.275,-1.485995,62.63395,52389,583301,1,0.002673,0.001,0.001,0.36384
46,1310.275,-1.50533,62.62444,52389,583301,1,0.002705991,0.001,0.001,0.363807
46,1310.275,-1.524683,62.61493,52389,583301,1,0.002739012,0.001,0.001,0.363774
46,1310.275,-1.544018,62.60543,52389,583301,1,0.002772003,0.001,0.001,0.363741
46,1310.275,-1.563353,62.59592,52389,583301,1,0.002804995,0.001,0.001,0.363708
46,1310.275,-1.582706,62.58641,52389,583301,1,0.002838016,0.001,0.001,0.363675
46,1310.275,-1.602041,62.5769,52389,583299,1,0.002871007,0.001,0.001,0.363642
46,1310.275,-1.621374,62.56738,52389,583299,1,0.002903998,0.001,0.001,0.363609
46,1310.275,-1.640724,62.55786,52389,583299,1,0.002937019,0.001,0.001,0.363576
46,1310.275,-1.660057,62.54834,52389,583299,1,0.00297001,0.001,0.001,0.363543
46,1310.275,-1.67939,62.53882,52389,583299,1,0.003003001,0.001,0.001,0.36351
46,1310.275,-1.698723,62.52931,52389,583299,1,0.003035992,0.001,0.001,0.363477
46,1310.275,-1.71806,62.51981,52304,583297,1,0.003069013,0.001,0.001,0.363444
46,1310.275,-1.737346,62.5104,52009,583297,1,0.003102005,0.001,0.001,0.363411
46,1310.275,-1.756632,62.50098,51714,583297,1,0.003134996,0.001,0.001,0.363378
46,1310.275,-1.775936,62.49156,51419,583297,1,0.003168017,0.001,0.001,0.363345
46,1310.275,-1.795222,62.48215,51124,583297,1,0.003201008,0.001,0.001,0.363312
46,1310.275,-1.814508,62.47273,50829,583297,1,0.003233999,0.001,0.001,0.363279
46,1310.275,-1.833794,62.46332,50534,583297,1,0.00326699,0.001,0.001,0.363246
46,1310.275,-1.853098,62.4539,50239,583297,1,0.003300011,0.001,0.001,0.363213
46,1310.275,-1.872384,62.44448,49944,583297,1,0.003333002,0.001,0.001,0.36318
46,1310.275,-1.89167,62.43507,49649,583297,1,0.003365993,0.001,0.001,0.363147
46,1310.275,-1.910974,62.42564,49354,583297,1,0.003399014,0.001,0.001,0.363114
46,1310.275,-1.93026,62.41623,49059,583297,1,0.003432006,0.001,0.001,0.363081
46,1310.275,-1.949546,62.40682,48764,583297,1,0.003464997,0.001,0.001,0.363048
46,1310.275,-1.96885,62.39739,48468,583297,1,0.003498018,0.001,0.001,0.363015
46,1310.275,-1.988136,62.38798,48173,583297,1,0.003531009,0.001,0.001,0.362982
46,1310.275,-2.007422,62.37856,47878,583297,1,0.003564,0.001,0.001,0.362949
46,1310.275,-2.026708,62.36915,47583,583297,1,0.003596991,0.001,0.001,0.362916
46,1310.275,-2.046012,62.35973,47288,583297,1,0.003630012,0.001,0.001,0.362883
46,1310.275,-2.065298,62.35031,46993,583297,1,0.003663003,0.001,0.001,0.36285
46,1310.275,-2.084584,62.3409,46698,583297,1,0.003695995,0.001,0.001,0.362817
46,1310.275,-2.103888,62.33148,46403,583297,1,0.003729016,0.001,0.001,0.362784
46,1310.275,-2.123174,62.32206,46108,583297,1,0.003762007,0.001,0.001,0.362751
46,1310.275,-2.14246,62.31265,45813,583297,1,0.003794998,0.001,0.001,0.362718
46,1310.275,-2.161764,62.30323,45517,583297,1,0.003828019,0.001,0.001,0.362685
46,1310.275,-2.18105,62.29381,45222,583297,1,0.00386101,0.001,0.001,0.362652
46,1310.275,-2.200336,62.2844,44927,583297,1,0.003894001,0.001,0.001,0.362619
46,1310.275,-2.219623,62.27498,44632,583297,1,0.003926992,0.001,0.001,0.362586
46,1310.275,-2.238926,62.26556,44337,583297,1,0.003960013,0.001,0.001,0.362553
46,1310.275,-2.258212,62.25615,44042,583297,1,0.003993005,0.001,0.001,0.36252
46,1310.275,-2.277499,62.24673,43747,583297,1,0.004025996,0.001,0.001,0.362487
46,1310.275,-2.296802,62.23731,43452,583297,1,0.004059017,0.001,0.001,0.362454
46,1310.275,-2.316088,62.2279,43157,583297,1,0.004092008,0.001,0.001,0.362421
46,1310.275,-2.335374,62.21848,42862,583297,1,0.004124999,0.001,0.001,0.362388
46,1310.275,-2.354678,62.20906,42567,583297,1,0.00415802,0.001,0.001,0.362355
46,1310.275,-2.373964,62.19964,42272,583297,1,0.004191011,0.001,0.001,0.362322
46,1310.275,-2.39325,62.19023,41977,583297,1,0.004224002,0.001,0.001,0.362289
46,1310.275,-2.412537,62.18082,41682,583297,1,0.004256994,0.001,0.001,0.362256
46,1310.275,-2.43184,62.17139,41386,583297,1,0.004290015,0.001,0.001,0.362223
46,1310.275,-2.451126,62.16198,41091,583297,1,0.004323006,0.001,0.001,0.36219
46,1310.275,-2.470413,62.15257,40796,583297,1,0.004355997,0.001,0.001,0.362157
46,1310.275,-2.489716,62.14314,40501,583297,1,0.004389018,0.001,0.001,0.362124
46,1310.275,-2.509002,62.13373,40206,583297,1,0.004422009,0.001,0.001,0.362091
46,1310.275,-2.528289,62.12431,39911,583297,1,0.004455,0.001,0.001,0.362058
46,1310.275,-2.547592,62.11489,39616,583297,1,0.004488021,0.001,0.001,0.362025
46,1310.275,-2.566878,62.10548,39321,583297,1,0.004521012,0.001,0.001,0.361992
46,1310.275,-2.586165,62.09606,39026,583297,1,0.004554003,0.001,0.001,0.361959
46,1310.275,-2.605451,62.08665,38731,583297,1,0.004586995,0.001,0.001,0.361926
46,1310.275,-2.624754,62.07723,38436,583297,1,0.004620016,0.001,0.001,0.361893
