TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
120,2811.631,nan,nan,0,0,0,0,0.001,0.001,0.366513
120,2811.631,-0.01896784,63.41608,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
120,2811.631,-0.03824891,63.63573,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
120,2811.631,-0.05751258,63.85518,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
120,2811.631,-0.07677625,64.07463,26196,370455,1,0.0001319945,0.001,0.001,0.366381
120,2811.631,-0.09603992,64.29407,27639,370455,1,0.0001649857,0.001,0.001,0.366348
120,2811.631,-0.115321,64.51372,29083,370455,1,0.0001980066,0.001,0.001,0.366315
120,2811.631,-0.1345847,64.73317,30526,370455,1,0.0002309978,0.001,0.001,0.366282
120,2811.631,-0.1538483,64.95262,31969,370455,1,0.000263989,0.001,0.001,0.366249
120,2811.631,-0.1731294,65.17227,33413,370455,1,0.0002970099,0.001,0.001,0.366216
120,2811.631,-0.1923931,65.39172,34856,370455,1,0.0003300011,0.001,0.001,0.366183
120,2811.631,-0.2116567,65.61117,36299,370455,1,0.0003629923,0.001,0.001,0.36615
120,2811.631,-0.2309378,65.83081,37743,370455,1,0.0003960133,0.001,0.001,0.366117
120,2811.631,-0.2502015,66.05026,39186,370455,1,0.0004290044,0.001,0.001,0.366084
120,2811.631,-0.2694652,66.26971,40628,370455,1,0.0004619956,0.001,0.001,0.366051
120,2811.631,-0.2887288,66.48916,42071,370455,1,0.0004949868,0.001,0.001,0.366018
120,2811.631,-0.3080099,66.70881,43515,370455,1,0.0005280077,0.001,0.001,0.365985
120,2811.631,-0.3272736,66.92826,44958,370455,1,0.0005609989,0.001,0.001,0.365952
120,2811.631,-0.3465372,67.14771,46401,370455,1,0.0005939901,0.001,0.001,0.365919
120,2811.631,-0.3658183,67.36735,47845,370455,1,0.0006270111,0.001,0.001,0.365886
120,2811.631,-0.385082,67.5868,49288,370455,1,0.0006600022,0.001,0.001,0.365853
120,2811.631,-0.4043457,67.80625,50731,370455,1,0.0006929934,0.001,0.001,0.36582
120,2811.631,-0.4236267,68.0259,52175,370455,1,0.0007260144,0.001,0.001,0.365787
120,2811.631,-0.4428904,68.24535,53618,370455,1,0.0007590055,0.001,0.001,0.365754
120,2811.631,-0.4621541,68.4648,55060,370455,1,0.0007919967,0.001,0.001,0.365721
120,2811.631,-0.4814177,68.68425,56503,370455,1,0.0008249879,0.001,0.001,0.365688
120,2811.631,-0.5006988,68.9039,57947,370455,1,0.0008580089,0.001,0.001,0.365655
120,2811.631,-0.5199625,69.12334,59390,370455,1,0.000891,0.001,0.001,0.365622
120,2811.631,-0.5392261,69.34279,60833,370455,1,0.0009239912,0.001,0.001,0.365589
120,2811.631,-0.5585072,69.56244,62277,370455,1,0.0009570122,0.001,0.001,0.365556
120,2811.631,-0.5777709,69.78189,63720,370455,1,0.0009900033,0.001,0.001,0.365523
120,2811.631,-0.5970346,70.00134,65163,370455,1,0.001022995,0.001,0.001,0.36549
120,2811.631,-0.6163156,70.22099,66607,370455,1,0.001056015,0.001,0.001,0.365457
120,2811.631,-0.6355793,70.44044,68050,370455,1,0.001089007,0.001,0.001,0.365424
120,2811.631,-0.648336,70.58576,66678,370446,1,0.001121998,0.001,0.001,0.365391
120,2811.631,-0.6599189,70.71771,64798,370446,1,0.001154989,0.001,0.001,0.365358
120,2811.631,-0.6715124,70.84978,62917,370446,1,0.00118801,0.001,0.001,0.365325
120,2811.631,-0.6830954,70.98173,61037,370446,1,0.001221001,0.001,0.001,0.365292
120,2811.631,-0.68491,71.00241,55527,547328,1,0.001253992,0.001,0.001,0.365259
120,2811.631,-0.6974596,71.14413,53075,548707,1,0.001287013,0.001,0.001,0.365226
120,2811.631,-0.7190485,71.38773,53168,548707,1,0.001320004,0.001,0.001,0.365193
120,2811.631,-0.7406375,71.63132,53261,548707,1,0.001352996,0.001,0.001,0.36516
120,2811.631,-0.762246,71.87514,53354,548707,1,0.001386017,0.001,0.001,0.365127
120,2811.631,-0.7838349,72.11874,53446,548707,1,0.001419008,0.001,0.001,0.365094
120,2811.631,-0.8054239,72.36234,53539,548707,1,0.001451999,0.001,0.001,0.365061
120,2811.631,-0.8270128,72.60594,53632,548707,1,0.00148499,0.001,0.001,0.365028
120,2811.631,-0.8485505,72.84858,53547,370443,1,0.001518011,0.001,0.001,0.364995
120,2811.631,-0.870079,73.09117,53487,370443,1,0.001551002,0.001,0.001,0.364962
120,2811.631,-0.8916074,73.33376,53427,370443,1,0.001583993,0.001,0.001,0.364929
120,2811.631,-0.9131553,73.57658,53367,370443,1,0.001617014,0.001,0.001,0.364896
120,2811.631,-0.9346838,73.81917,53307,370443,1,0.001650006,0.001,0.001,0.364863
120,2811.631,-0.9562122,74.06176,53247,370443,1,0.001682997,0.001,0.001,0.36483
120,2811.631,-0.9777407,74.30435,53187,370443,1,0.001715988,0.001,0.001,0.364797
120,2811.631,-0.9992886,74.54716,53127,370443,1,0.001749009,0.001,0.001,0.364764
120,2811.631,-1.020817,74.78975,53067,370443,1,0.001782,0.001,0.001,0.364731
120,2811.631,-1.042346,75.03234,53008,370443,1,0.001814991,0.001,0.001,0.364698
120,2811.631,-1.063893,75.27516,52948,370443,1,0.001848012,0.001,0.001,0.364665
120,2811.631,-1.085422,75.51775,52888,370443,1,0.001881003,0.001,0.001,0.364632
120,2811.631,-1.10695,75.76034,52828,370443,1,0.001913995,0.001,0.001,0.364599
120,2811.631,-1.128498,76.00315,52768,370443,1,0.001947016,0.001,0.001,0.364566
120,2811.631,-1.150027,76.24574,52708,370443,1,0.001980007,0.001,0.001,0.364533
120,2811.631,-1.171555,76.48833,52648,370443,1,0.002012998,0.001,0.001,0.3645
120,2811.631,-1.193084,76.73092,52588,370443,1,0.002045989,0.001,0.001,0.364467
120,2811.631,-1.214631,76.97374,52528,370443,1,0.00207901,0.001,0.001,0.364434
120,2811.631,-1.23616,77.21633,52469,370443,1,0.002112001,0.001,0.001,0.364401
120,2811.631,-1.257688,77.45892,52409,370443,1,0.002144992,0.001,0.001,0.364368
120,2811.631,-1.278518,77.68649,52388,583301,1,0.002178013,0.001,0.001,0.364335
120,2811.631,-1.298961,77.90607,52388,583301,1,0.002211004,0.001,0.001,0.364302
120,2811.631,-1.319405,78.12565,52388,583301,1,0.002243996,0.001,0.001,0.364269
120,2811.631,-1.339866,78.34543,52388,583301,1,0.002277017,0.001,0.001,0.364236
120,2811.631,-1.36031,78.56501,52388,583301,1,0.002310008,0.001,0.001,0.364203
120,2811.631,-1.380753,78.78459,52388,583301,1,0.002342999,0.001,0.001,0.36417
120,2811.631,-1.401197,79.00417,52388,583301,1,0.00237599,0.001,0.001,0.364137
120,2811.631,-1.421659,79.22395,52388,583301,1,0.002409011,0.001,0.001,0.364104
120,2811.631,-1.442102,79.44353,52388,583301,1,0.002442002,0.001,0.001,0.364071
120,2811.631,-1.462545,79.66311,52388,583301,1,0.002474993,0.001,0.001,0.364038
120,2811.631,-1.483007,79.88289,52388,583301,1,0.002508014,0.001,0.001,0.364005
120,2811.631,-1.503451,80.10247,52389,583301,1,0.002541006,0.001,0.001,0.363972
120,2811.631,-1.523894,80.32205,52389,583301,1,0.002573997,0.001,0.001,0.363939
120,2811.631,-1.544356,80.54183,52389,583301,1,0.002607018,0.001,0.001,0.363906
120,2811.631,-1.564799,80.76141,52389,583301,1,0.002640009,0.001,0.001,0.363873
120,2811.631,-1.585243,80.98099,52389,583301,1,0.002673,0.001,0.001,0.36384
