TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
30,985.6577,nan,nan,0,0,0,0,0.001,0.001,0.366513
30,985.6577,-0.002899537,63.19734,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
30,985.6577,-0.005846957,63.19464,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
30,985.6577,-0.008791716,63.19194,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
30,985.6577,-0.01173648,63.18924,26196,370455,1,0.0001319945,0.001,0.001,0.366381
30,985.6577,-0.01468124,63.18654,27639,370455,1,0.0001649857,0.001,0.001,0.366348
30,985.6577,-0.01762866,63.18383,29083,370455,1,0.0001980066,0.001,0.001,0.366315
30,985.6577,-0.02057341,63.18113,30526,370455,1,0.0002309978,0.001,0.001,0.366282
30,985.6577,-0.02351817,63.17843,31969,370455,1,0.000263989,0.001,0.001,0.366249
30,985.6577,-0.02646559,63.17573,33413,370455,1,0.0002970099,0.001,0.001,0.366216
30,985.6577,-0.02941035,63.17303,34856,370455,1,0.0003300011,0.001,0.001,0.366183
30,985.6577,-0.03235511,63.17033,36299,370455,1,0.0003629923,0.001,0.001,0.36615
30,985.6577,-0.03530253,63.16763,37743,370455,1,0.0003960133,0.001,0.001,0.366117
30,985.6577,-0.03824729,63.16493,39186,370455,1,0.0004290044,0.001,0.001,0.366084
30,985.6577,-0.04119205,63.16223,40628,370455,1,0.0004619956,0.001,0.001,0.366051
30,985.6577,-0.04413681,63.15953,42071,370455,1,0.0004949868,0.001,0.001,0.366018
30,985.6577,-0.04708423,63.15682,43515,370455,1,0.0005280077,0.001,0.001,0.365985
30,985.6577,-0.05002899,63.15412,44958,370455,1,0.0005609989,0.001,0.001,0.365952
30,985.6577,-0.05297375,63.15142,46401,370455,1,0.0005939901,0.001,0.001,0.365919
30,985.6577,-0.05592117,63.14872,47845,370455,1,0.0006270111,0.001,0.001,0.365886
30,985.6577,-0.05886593,63.14602,49288,370455,1,0.0006600022,0.001,0.001,0.365853
30,985.6577,-0.06181069,63.14332,50731,370455,1,0.0006929934,0.001,0.001,0.36582
30,985.6577,-0.06475811,63.14062,52175,370455,1,0.0007260144,0.001,0.001,0.365787
30,985.6577,-0.06770287,63.13792,53618,370455,1,0.0007590055,0.001,0.001,0.365754
30,985.6577,-0.07064763,63.13522,55060,370455,1,0.0007919967,0.001,0.001,0.365721
30,985.6577,-0.07359239,63.13251,56503,370455,1,0.0008249879,0.001,0.001,0.365688
30,985.6577,-0.07653981,63.12981,57947,370455,1,0.0008580089,0.001,0.001,0.365655
30,985.6577,-0.07948457,63.12711,59390,370455,1,0.000891,0.001,0.001,0.365622
30,985.6577,-0.08242932,63.12441,60833,370455,1,0.0009239912,0.001,0.001,0.365589
30,985.6577,-0.08537674,63.12171,62277,370455,1,0.0009570122,0.001,0.001,0.365556
30,985.6577,-0.0883215,63.11901,63720,370455,1,0.0009900033,0.001,0.001,0.365523
30,985.6577,-0.09126626,63.11631,65163,370455,1,0.001022995,0.001,0.001,0.36549
30,985.6577,-0.09421368,63.1136,66607,370455,1,0.001056015,0.001,0.001,0.365457
30,985.6577,-0.09715844,63.1109,68050,370455,1,0.001089007,0.001,0.001,0.365424
30,985.6577,-0.0991085,63.10912,66678,370446,1,0.001121998,0.001,0.001,0.365391
30,985.6577,-0.1008791,63.10749,64798,370446,1,0.001154989,0.001,0.001,0.365358
30,985.6577,-0.1026514,63.10587,62917,370446,1,0.00118801,0.001,0.001,0.365325
30,985.6577,-0.104422,63.10424,61037,370446,1,0.001221001,0.001,0.001,0.365292
30,985.6577,-0.1046994,63.10399,55527,547328,1,0.001253992,0.001,0.001,0.365259
30,985.6577,-0.1066222,63.10207,53075,548707,1,0.001287013,0.001,0.001,0.365226
30,985.6577,-0.1099306,63.09874,53168,548707,1,0.001320004,0.001,0.001,0.365193
30,985.6577,-0.113239,63.09541,53261,548707,1,0.001352996,0.001,0.001,0.36516
30,985.6577,-0.1165504,63.09207,53354,548707,1,0.001386017,0.001,0.001,0.365127
30,985.6577,-0.1198589,63.08874,53446,548707,1,0.001419008,0.001,0.001,0.365094
