TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
111,2629.034,nan,nan,0,0,0,0,0.001,0.001,0.366513
111,2629.034,-0.002955414,63.19778,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
111,2629.034,-0.005959634,63.19552,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
111,2629.034,-0.008961141,63.19327,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
111,2629.034,-0.01196265,63.19101,26196,370455,1,0.0001319945,0.001,0.001,0.366381
111,2629.034,-0.01496416,63.18876,27639,370455,1,0.0001649857,0.001,0.001,0.366348
111,2629.034,-0.01796838,63.1865,29083,370455,1,0.0001980066,0.001,0.001,0.366315
111,2629.034,-0.02096988,63.18425,30526,370455,1,0.0002309978,0.001,0.001,0.366282
111,2629.034,-0.02397139,63.18199,31969,370455,1,0.000263989,0.001,0.001,0.366249
111,2629.034,-0.02697561,63.17974,33413,370455,1,0.0002970099,0.001,0.001,0.366216
111,2629.034,-0.02997712,63.17748,34856,370455,1,0.0003300011,0.001,0.001,0.366183
111,2629.034,-0.03297863,63.17523,36299,370455,1,0.0003629923,0.001,0.001,0.36615
111,2629.034,-0.03598285,63.17297,37743,370455,1,0.0003960133,0.001,0.001,0.366117
111,2629.034,-0.03898435,63.17072,39186,370455,1,0.0004290044,0.001,0.001,0.366084
111,2629.034,-0.04198586,63.16846,40628,370455,1,0.0004619956,0.001,0.001,0.366051
111,2629.034,-0.04498737,63.16621,42071,370455,1,0.0004949868,0.001,0.001,0.366018
111,2629.034,-0.04799159,63.16395,43515,370455,1,0.0005280077,0.001,0.001,0.365985
111,2629.034,-0.0509931,63.1617,44958,370455,1,0.0005609989,0.001,0.001,0.365952
111,2629.034,-0.0539946,63.15944,46401,370455,1,0.0005939901,0.001,0.001,0.365919
111,2629.034,-0.05699882,63.15718,47845,370455,1,0.0006270111,0.001,0.001,0.365886
111,2629.034,-0.06000033,63.15493,49288,370455,1,0.0006600022,0.001,0.001,0.365853
111,2629.034,-0.06300184,63.15267,50731,370455,1,0.0006929934,0.001,0.001,0.36582
111,2629.034,-0.06600606,63.15042,52175,370455,1,0.0007260144,0.001,0.001,0.365787
111,2629.034,-0.06900757,63.14816,53618,370455,1,0.0007590055,0.001,0.001,0.365754
111,2629.034,-0.07200908,63.14591,55060,370455,1,0.0007919967,0.001,0.001,0.365721
111,2629.034,-0.07501058,63.14365,56503,370455,1,0.0008249879,0.001,0.001,0.365688
111,2629.034,-0.0780148,63.1414,57947,370455,1,0.0008580089,0.001,0.001,0.365655
111,2629.034,-0.08101631,63.13914,59390,370455,1,0.000891,0.001,0.001,0.365622
111,2629.034,-0.08401782,63.13689,60833,370455,1,0.0009239912,0.001,0.001,0.365589
111,2629.034,-0.08702204,63.13463,62277,370455,1,0.0009570122,0.001,0.001,0.365556
111,2629.034,-0.09002355,63.13238,63720,370455,1,0.0009900033,0.001,0.001,0.365523
111,2629.034,-0.09302505,63.13012,65163,370455,1,0.001022995,0.001,0.001,0.36549
111,2629.034,-0.09602927,63.12787,66607,370455,1,0.001056015,0.001,0.001,0.365457
111,2629.034,-0.09903078,63.12561,68050,370455,1,0.001089007,0.001,0.001,0.365424
111,2629.034,-0.1010184,63.12412,66678,370446,1,0.001121998,0.001,0.001,0.365391
111,2629.034,-0.1028232,63.12276,64798,370446,1,0.001154989,0.001,0.001,0.365358
111,2629.034,-0.1046296,63.1214,62917,370446,1,0.00118801,0.001,0.001,0.365325
111,2629.034,-0.1064343,63.12005,61037,370446,1,0.001221001,0.001,0.001,0.365292
111,2629.034,-0.1067171,63.11984,55527,547328,1,0.001253992,0.001,0.001,0.365259
111,2629.034,-0.1086728,63.11725,53075,548707,1,0.001287013,0.001,0.001,0.365226
111,2629.034,-0.1120371,63.11262,53168,548707,1,0.001320004,0.001,0.001,0.365193
111,2629.034,-0.1154015,63.10799,53261,548707,1,0.001352996,0.001,0.001,0.36516
111,2629.034,-0.1187689,63.10336,53354,548707,1,0.001386017,0.001,0.001,0.365127
111,2629.034,-0.1221333,63.09873,53446,548707,1,0.001419008,0.001,0.001,0.365094
111,2629.034,-0.1254977,63.0941,53539,548707,1,0.001451999,0.001,0.001,0.365061
111,2629.034,-0.1288621,63.08947,53632,548707,1,0.00148499,0.001,0.001,0.365028
111,2629.034,-0.1322186,63.08451,53547,370443,1,0.001518011,0.001,0.001,0.364995
111,2629.034,-0.1355736,63.07961,53487,370443,1,0.001551002,0.001,0.001,0.364962
111,2629.034,-0.1389286,63.0747,53427,370443,1,0.001583993,0.001,0.001,0.364929
111,2629.034,-0.1422867,63.06979,53367,370443,1,0.001617014,0.001,0.001,0.364896
111,2629.034,-0.1456417,63.06488,53307,370443,1,0.001650006,0.001,0.001,0.364863
111,2629.034,-0.1489968,63.05998,53247,370443,1,0.001682997,0.001,0.001,0.36483
111,2629.034,-0.1523518,63.05507,53187,370443,1,0.001715988,0.001,0.001,0.364797
111,2629.034,-0.1557099,63.05016,53127,370443,1,0.001749009,0.001,0.001,0.364764
111,2629.034,-0.1590649,63.04525,53067,370443,1,0.001782,0.001,0.001,0.364731
111,2629.034,-0.1624199,63.04035,53008,370443,1,0.001814991,0.001,0.001,0.364698
111,2629.034,-0.165778,63.03544,52948,370443,1,0.001848012,0.001,0.001,0.364665
111,2629.034,-0.1691331,63.03053,52888,370443,1,0.001881003,0.001,0.001,0.364632
111,2629.034,-0.1724881,63.02562,52828,370443,1,0.001913995,0.001,0.001,0.364599
111,2629.034,-0.1758462,63.02071,52768,370443,1,0.001947016,0.001,0.001,0.364566
111,2629.034,-0.1792012,63.0158,52708,370443,1,0.001980007,0.001,0.001,0.364533
111,2629.034,-0.1825562,63.0109,52648,370443,1,0.002012998,0.001,0.001,0.3645
111,2629.034,-0.1859113,63.00599,52588,370443,1,0.002045989,0.001,0.001,0.364467
111,2629.034,-0.1892693,63.00108,52528,370443,1,0.00207901,0.001,0.001,0.364434
111,2629.034,-0.1926244,62.99617,52469,370443,1,0.002112001,0.001,0.001,0.364401
111,2629.034,-0.1959794,62.99127,52409,370443,1,0.002144992,0.001,0.001,0.364368
111,2629.034,-0.199228,62.9802,52388,583301,1,0.002178013,0.001,0.001,0.364335
111,2629.034,-0.2024177,62.96601,52388,583301,1,0.002211004,0.001,0.001,0.364302
111,2629.034,-0.2056074,62.95181,52388,583301,1,0.002243996,0.001,0.001,0.364269
111,2629.034,-0.2088,62.93761,52388,583301,1,0.002277017,0.001,0.001,0.364236
111,2629.034,-0.2119897,62.92341,52388,583301,1,0.002310008,0.001,0.001,0.364203
111,2629.034,-0.2151794,62.90922,52388,583301,1,0.002342999,0.001,0.001,0.36417
111,2629.034,-0.2183692,62.89502,52388,583301,1,0.00237599,0.001,0.001,0.364137
111,2629.034,-0.2215617,62.88081,52388,583301,1,0.002409011,0.001,0.001,0.364104
111,2629.034,-0.2247515,62.86662,52388,583301,1,0.002442002,0.001,0.001,0.364071
111,2629.034,-0.2279412,62.85242,52388,583301,1,0.002474993,0.001,0.001,0.364038
111,2629.034,-0.2311338,62.83822,52388,583301,1,0.002508014,0.001,0.001,0.364005
111,2629.034,-0.2343235,62.82402,52389,583301,1,0.002541006,0.001,0.001,0.363972
111,2629.034,-0.2375132,62.80983,52389,583301,1,0.002573997,0.001,0.001,0.363939
111,2629.034,-0.2407058,62.79562,52389,583301,1,0.002607018,0.001,0.001,0.363906
111,2629.034,-0.2438955,62.78142,52389,583301,1,0.002640009,0.001,0.001,0.363873
111,2629.034,-0.2470852,62.76723,52389,583301,1,0.002673,0.001,0.001,0.36384
111,2629.034,-0.2502749,62.75303,52389,583301,1,0.002705991,0.001,0.001,0.363807
111,2629.034,-0.2534675,62.73883,52389,583301,1,0.002739012,0.001,0.001,0.363774
111,2629.034,-0.2566573,62.72463,52389,583301,1,0.002772003,0.001,0.001,0.363741
111,2629.034,-0.259847,62.71044,52389,583301,1,0.002804995,0.001,0.001,0.363708
111,2629.034,-0.2630396,62.69623,52389,583301,1,0.002838016,0.001,0.001,0.363675
111,2629.034,-0.2662291,62.68202,52389,583299,1,0.002871007,0.001,0.001,0.363642
111,2629.034,-0.2694182,62.66777,52389,583299,1,0.002903998,0.001,0.001,0.363609
111,2629.034,-0.2726103,62.65351,52389,583299,1,0.002937019,0.001,0.001,0.363576
111,2629.034,-0.2757994,62.63926,52389,583299,1,0.00297001,0.001,0.001,0.363543
111,2629.034,-0.2789885,62.62501,52389,583299,1,0.003003001,0.001,0.001,0.36351
111,2629.034,-0.2821777,62.61076,52389,583299,1,0.003035992,0.001,0.001,0.363477
111,2629.034,-0.2853682,62.5966,52304,583297,1,0.003069013,0.001,0.001,0.363444
111,2629.034,-0.2885521,62.5827,52009,583297,1,0.003102005,0.001,0.001,0.363411
111,2629.034,-0.2917359,62.5688,51714,583297,1,0.003134996,0.001,0.001,0.363378
