TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2,417.5772,nan,nan,0,0,0,0,0.001,0.001,0.366513
2,417.5772,-0.0003932336,63.19309,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
2,417.5772,-0.000792961,63.18606,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
2,417.5772,-0.001192328,63.17904,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
2,417.5772,-0.001591694,63.17202,26196,370455,1,0.0001319945,0.001,0.001,0.366381
2,417.5772,-0.001991061,63.165,27639,370455,1,0.0001649857,0.001,0.001,0.366348
2,417.5772,-0.002390788,63.15798,29083,370455,1,0.0001980066,0.001,0.001,0.366315
2,417.5772,-0.002790155,63.15096,30526,370455,1,0.0002309978,0.001,0.001,0.366282
2,417.5772,-0.003189521,63.14394,31969,370455,1,0.000263989,0.001,0.001,0.366249
2,417.5772,-0.003589249,63.13691,33413,370455,1,0.0002970099,0.001,0.001,0.366216
2,417.5772,-0.003988615,63.12989,34856,370455,1,0.0003300011,0.001,0.001,0.366183
2,417.5772,-0.004387982,63.12287,36299,370455,1,0.0003629923,0.001,0.001,0.36615
2,417.5772,-0.004787709,63.11584,37743,370455,1,0.0003960133,0.001,0.001,0.366117
2,417.5772,-0.005187076,63.10882,39186,370455,1,0.0004290044,0.001,0.001,0.366084
2,417.5772,-0.005586443,63.1018,40628,370455,1,0.0004619956,0.001,0.001,0.366051
2,417.5772,-0.005985809,63.09478,42071,370455,1,0.0004949868,0.001,0.001,0.366018
2,417.5772,-0.006385537,63.08776,43515,370455,1,0.0005280077,0.001,0.001,0.365985
2,417.5772,-0.006784903,63.08074,44958,370455,1,0.0005609989,0.001,0.001,0.365952
2,417.5772,-0.00718427,63.07372,46401,370455,1,0.0005939901,0.001,0.001,0.365919
2,417.5772,-0.007583997,63.06669,47845,370455,1,0.0006270111,0.001,0.001,0.365886
2,417.5772,-0.007983364,63.05967,49288,370455,1,0.0006600022,0.001,0.001,0.365853
2,417.5772,-0.00838273,63.05265,50731,370455,1,0.0006929934,0.001,0.001,0.36582
2,417.5772,-0.008782458,63.04563,52175,370455,1,0.0007260144,0.001,0.001,0.365787
2,417.5772,-0.009181824,63.03861,53618,370455,1,0.0007590055,0.001,0.001,0.365754
2,417.5772,-0.009581191,63.03159,55060,370455,1,0.0007919967,0.001,0.001,0.365721
2,417.5772,-0.009980558,63.02457,56503,370455,1,0.0008249879,0.001,0.001,0.365688
2,417.5772,-0.01038028,63.01754,57947,370455,1,0.0008580089,0.001,0.001,0.365655
2,417.5772,-0.01077965,63.01052,59390,370455,1,0.000891,0.001,0.001,0.365622
2,417.5772,-0.01117902,63.0035,60833,370455,1,0.0009239912,0.001,0.001,0.365589
2,417.5772,-0.01157875,62.99647,62277,370455,1,0.0009570122,0.001,0.001,0.365556
2,417.5772,-0.01197811,62.98945,63720,370455,1,0.0009900033,0.001,0.001,0.365523
2,417.5772,-0.01237748,62.98243,65163,370455,1,0.001022995,0.001,0.001,0.36549
2,417.5772,-0.01277721,62.97541,66607,370455,1,0.001056015,0.001,0.001,0.365457
2,417.5772,-0.01317657,62.96839,68050,370455,1,0.001089007,0.001,0.001,0.365424
2,417.5772,-0.01344104,62.96374,66678,370446,1,0.001121998,0.001,0.001,0.365391
2,417.5772,-0.01368117,62.95952,64798,370446,1,0.001154989,0.001,0.001,0.365358
2,417.5772,-0.01392152,62.95529,62917,370446,1,0.00118801,0.001,0.001,0.365325
2,417.5772,-0.01416166,62.95107,61037,370446,1,0.001221001,0.001,0.001,0.365292
2,417.5772,-0.01419928,62.95041,55527,547328,1,0.001253992,0.001,0.001,0.365259
2,417.5772,-0.01446008,62.9458,53075,548707,1,0.001287013,0.001,0.001,0.365226
2,417.5772,-0.01490885,62.93785,53168,548707,1,0.001320004,0.001,0.001,0.365193
2,417.5772,-0.01535761,62.92991,53261,548707,1,0.001352996,0.001,0.001,0.36516
2,417.5772,-0.01580678,62.92196,53354,548707,1,0.001386017,0.001,0.001,0.365127
2,417.5772,-0.01625555,62.91402,53446,548707,1,0.001419008,0.001,0.001,0.365094
2,417.5772,-0.01670431,62.90607,53539,548707,1,0.001451999,0.001,0.001,0.365061
