TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
11,600.1745,nan,nan,0,0,0,0,0.001,0.001,0.366513
11,600.1745,-0.009009431,63.22673,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
11,600.1745,-0.01816764,63.2539,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
11,600.1745,-0.02731759,63.28105,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
11,600.1745,-0.03646753,63.3082,26196,370455,1,0.0001319945,0.001,0.001,0.366381
11,600.1745,-0.04561748,63.33535,27639,370455,1,0.0001649857,0.001,0.001,0.366348
11,600.1745,-0.05477569,63.36252,29083,370455,1,0.0001980066,0.001,0.001,0.366315
11,600.1745,-0.06392564,63.38967,30526,370455,1,0.0002309978,0.001,0.001,0.366282
11,600.1745,-0.07307558,63.41682,31969,370455,1,0.000263989,0.001,0.001,0.366249
11,600.1745,-0.08223379,63.44399,33413,370455,1,0.0002970099,0.001,0.001,0.366216
11,600.1745,-0.09138374,63.47114,34856,370455,1,0.0003300011,0.001,0.001,0.366183
11,600.1745,-0.1005337,63.49828,36299,370455,1,0.0003629923,0.001,0.001,0.36615
11,600.1745,-0.1096919,63.52546,37743,370455,1,0.0003960133,0.001,0.001,0.366117
11,600.1745,-0.1188418,63.55261,39186,370455,1,0.0004290044,0.001,0.001,0.366084
11,600.1745,-0.1279918,63.57975,40628,370455,1,0.0004619956,0.001,0.001,0.366051
11,600.1745,-0.1371417,63.6069,42071,370455,1,0.0004949868,0.001,0.001,0.366018
11,600.1745,-0.1462999,63.63407,43515,370455,1,0.0005280077,0.001,0.001,0.365985
11,600.1745,-0.1554499,63.66122,44958,370455,1,0.0005609989,0.001,0.001,0.365952
11,600.1745,-0.1645998,63.68837,46401,370455,1,0.0005939901,0.001,0.001,0.365919
11,600.1745,-0.173758,63.71554,47845,370455,1,0.0006270111,0.001,0.001,0.365886
11,600.1745,-0.182908,63.74269,49288,370455,1,0.0006600022,0.001,0.001,0.365853
11,600.1745,-0.1920579,63.76984,50731,370455,1,0.0006929934,0.001,0.001,0.36582
11,600.1745,-0.2012161,63.79701,52175,370455,1,0.0007260144,0.001,0.001,0.365787
11,600.1745,-0.2103661,63.82416,53618,370455,1,0.0007590055,0.001,0.001,0.365754
11,600.1745,-0.219516,63.85131,55060,370455,1,0.0007919967,0.001,0.001,0.365721
11,600.1745,-0.228666,63.87846,56503,370455,1,0.0008249879,0.001,0.001,0.365688
11,600.1745,-0.2378242,63.90563,57947,370455,1,0.0008580089,0.001,0.001,0.365655
11,600.1745,-0.2469741,63.93278,59390,370455,1,0.000891,0.001,0.001,0.365622
11,600.1745,-0.2561241,63.95992,60833,370455,1,0.0009239912,0.001,0.001,0.365589
11,600.1745,-0.2652823,63.9871,62277,370455,1,0.0009570122,0.001,0.001,0.365556
11,600.1745,-0.2744322,64.01424,63720,370455,1,0.0009900033,0.001,0.001,0.365523
11,600.1745,-0.2835822,64.04139,65163,370455,1,0.001022995,0.001,0.001,0.36549
11,600.1745,-0.2927404,64.06857,66607,370455,1,0.001056015,0.001,0.001,0.365457
11,600.1745,-0.3018903,64.09571,68050,370455,1,0.001089007,0.001,0.001,0.365424
11,600.1745,-0.3079496,64.11369,66678,370446,1,0.001121998,0.001,0.001,0.365391
11,600.1745,-0.3134513,64.13001,64798,370446,1,0.001154989,0.001,0.001,0.365358
11,600.1745,-0.318958,64.14635,62917,370446,1,0.00118801,0.001,0.001,0.365325
11,600.1745,-0.3244597,64.16268,61037,370446,1,0.001221001,0.001,0.001,0.365292
11,600.1745,-0.3253217,64.16523,55527,547328,1,0.001253992,0.001,0.001,0.365259
11,600.1745,-0.3312977,64.18291,53075,548707,1,0.001287013,0.001,0.001,0.365226
11,600.1745,-0.3415807,64.21331,53168,548707,1,0.001320004,0.001,0.001,0.365193
11,600.1745,-0.3518637,64.24371,53261,548707,1,0.001352996,0.001,0.001,0.36516
